GHGRP ID No. / No d'identification du PDGES,reference_year,facility_name,facility_location,municipality,province,postal_code,Latitude,Longitude,NAICS_code_description,company_legal_name,company_trade_name,total_emissions_tonnes_CO2e
G11932,2019,Spray Hydro Plant,16 Ken Ritchie Way,Canmore,Alberta,,51.074,-115.402,Hydro-Electric Power Generation,TransAlta Corporation,,60.747126
G11933,2019,Castle Wind Farm,507 AB Highway,Pincher Creek,Alberta,,49.515,-114.026,Other Electric Power Generation,TransAlta Renewables Inc.,,12.717028
G11934,2019,Cowley Wind Farm,AB-3 Highway,Pincher Creek,Alberta,,49.562,-114.108,Other Electric Power Generation,TransAlta Renewables Inc.,,6.427613
G11935,2019,Fort MacLeod Power Plant 05-30,,FORT MACLEOD,Alberta,,49.76385,-113.38787,Fossil-Fuel Electric Power Generation,Signalta Resources Ltd.,,3776.24481
G11936,2019,Sinnott Wind Farm,AB-3 Highway,Pincher Creek,Alberta,,49.532,-114.002,Other Electric Power Generation,TransAlta Renewables Inc.,,2.088888
G11937,2019,Summerview 1 Wind Farm,785 AB Highway,Pincher Creek,Alberta,,49.582,-113.793,Other Electric Power Generation,TransAlta Renewables Inc.,,53.624931
G11938,2019,Taylor Hydro Plant,Range Road 222A,Magrath,Alberta,,49.333,-112.887,Hydro-Electric Power Generation,TransAlta Renewables Inc.,,15.031168
G11939,2019,Centre Hospitalier de l'Université de Montréal,1000 Saint-Denis Street,Montréal,Quebec,H2X 0C1,45.51151,-73.5573,General (except Paediatric) Hospitals,Centre hospitalier de l'Université de Montréal,,25346.37635
G11940,2019,Magrath Wind Power Project,3815 9 Avenue North,LETHBRIDGE,Alberta,T1H6G8,49.71306,-112.78745,Other Electric Power Generation,Suncor Energy Inc.,Suncor Energy,14.248297
G11941,2019,Duvernay Kaybob Complex,Bigstone Rd Road,M.D. of Greenview,Alberta,T0H 1P0,54.39575,-116.94479,Oil and gas extraction (except oil sands),Pembina Pipeline Corporation,,16771.8736
G11942,2019,WASKAHIGAN MGS 10-29-062-23W5,,Waskahigan,Alberta,,54.3953,-117.41744,Oil and gas extraction (except oil sands),Pembina Pipeline Corporation,,25738.4773
G11943,2019,Oungre Oil MWB 15-31,,N/A,Saskatchewan,,49.08484,-103.59525,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,11097.474
G11944,2019,Virginia Hills Oil MWB 04-12,,Calgary,Alberta,,54.69238,-115.8381,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,20105.603
G11945,2019,Bromhead Oil MWB 05-31,,N/A,Saskatchewan,,49.16461,-103.60636,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,32694.731
G11948,2019,Rush Lake 2 Thermal Plant 16-03-048-21W3,4335 44 Street,Lloydminster,Saskatchewan,S9V 0Z8,53.11622,-108.98205,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,201296.889
G11949,2019,Brampton Civic Hospital,2100 Bovaird Drive East,Brampton,Ontario,l6r 3j7,43.75055,-79.71641,General (except Paediatric) Hospitals,William Osler Health System,,11527.706
G11950,2019,TERMINAL DE MONTREAL-EST,7000 MARIEN Avenue,Montréal-Est,Quebec,H1B 4W3,45.6413,-73.5322,Petroleum Product Wholesaler-Distributors,Valero Energy Inc.,Valero Energy Inc,13477.0935
G11951,2019,Red Lake Gold Mines,15 Eric Radford Way,Balmertown,Ontario,P0V 1C0,51.0597,-93.74407,Gold and Silver Ore Mining,Goldcorp Canada Limited - Red Lake Gold Mines,,31196.849
G11954,2019,HUSSAR GAS STOR 07-07-025-20W4,,Hussar,Alberta,,51.11602,-112.78125,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,16718.45704
G11955,2019,Iqaluit,1 NPC Hill,Iqaluit,Nunavut,X0A 0H0,63.75375,-68.50708,Fossil-Fuel Electric Power Generation,Qulliq Energy Corporation,,41378.275
G11956,2019,MASTERLOY PRODUCTS Company,5663 Doncaster Road,Ottawa,Ontario,K1G 3N4,45.2962,-75.5761,Iron and Steel Mills and Ferro-Alloy Manufacturing,Masterloy Products Co.,,132.9975
G11957,2019,Rankin Inlet,,Rankin Inlet,Nunavut,X0C 0G0,68.81257,-92.08061,Fossil-Fuel Electric Power Generation,Qulliq Energy Corporation,,14566.589
G11958,2019,Rmp Waskahigan 12-07-064-23w5,,Little Smoky,Alberta,,54.52509,-117.4767,Oil and gas extraction (except oil sands),Tangle Creek Energy Ltd.,,25714.6318
G11959,2019,02-26 Gas Plant,,NITON JUNCTION,Alberta,,53.51387,-115.65692,Oil and gas extraction (except oil sands),Tangle Creek Energy Ltd.,,20239.583
G11960,2019,JW Oliver Waste Water Plant,2000 1 Street East,Prince Albert,Saskatchewan,S6V 0E7,53,-105,Sewage Treatment Facilities,City of Prince Albert,,831.21
G11961,2019,Willesden Green 14-05,Unnamed Road,Brazeau No. 77,Alberta,,52.85639,-115.2763,Oil and gas extraction (except oil sands),Westbrick Energy Ltd.,,14543.36824
G11964,2019,Townsend Comp Stn C-041-F,,FORT ST. JOHN,British Columbia,,56.87292,-122.25975,Oil and gas extraction (except oil sands),AltaGas Ltd.,,47348.098
G11968,2019,CELTIC BT 10-17-052-23W3,5400 AIRPORT ROAD SOUTH,RICHMOND,Saskatchewan,V7B1Y4,53.49172,-109.35699,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,14286.37929
G11969,2019,HARVEST GREENSTREET A13-2 BT 13-02-052-27W3,,Britannia,Saskatchewan,,53.46624,-109.88552,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,14372.16388
G11973,2019,TANGLEFLAGS SWB 02-30-050-25W3,,BRITANNIA,Saskatchewan,,53.338,-109.64692,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,14576.44777
G11974,2019,WESTHAZEL MWB 01-36-051-23W3,,FRENCHMAN BUTTE,Saskatchewan,,53.44056,-109.25259,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,11208.86824
G11976,2019,PRAXAIR CANADA INC. PAT CARBON DIOXIDE PRODUCTION PLANT,3500 3rd Avenue,Montréal,Quebec,H1B 4P9,45.6387,-73.5188,Industrial Gas Manufacturing,Praxair Canada Inc.,,30813.38
G11978,2019,Fort Saskatchewan CO2 Plant,11698 99th Avenue,Fort Saskatchewan,Alberta,T8L 2T1,53.72126,-113.17954,Industrial Gas Manufacturing,Praxair Canada Inc.,,10494.407
G11979,2019,Highvale Sour Gas Plant 10-04,,n/a,Alberta,,53.3743,-114.5279,Oil and gas extraction (except oil sands),New Star Energy Ltd.,,19337.41487
G11981,2019,UNITY PLANT,14 Highway East,Unity,Saskatchewan,S0K 4L0,52.4294,-109.1111,Salt Mining,Compass Minerals Canada Corporation,,25384.96888
G11982,2019,BlackGold SAGD Sec14-76-07W4,,Wood Buffalo,Alberta,,55.58276,-110.97928,In-situ oil sands extraction,HARVEST OPERATIONS CORP.,HARVEST OPERATIONS CORP.,208921.9761
G11985,2019,Penhold Central Battery 15-29,,PENHOLD C,Alberta,,52.1247,-113.6772,Oil and gas extraction (except oil sands),Lynx Energy ULC,,10911.4413
G11987,2019,Usine LSR - Train #2,11201 Henri-Bourassa Boulevard East,MONTRÉAL,Quebec,H1C1H2,45.65763,-73.52883,Other Support Activities for Transportation,"Gaz Métro GNL, s.e.c.",GMGNL,11878.311
G11988,2019,Wargen Comp Stn D-056-C,,n/a,British Columbia,,57.29792,-121.31563,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,17729.353
G11989,2019,ArcelorMittal Contrecoeur Est,3900 Route des Aciéries,Contrecoeur,Quebec,J0L 1C0,45.82055,-73.26362,Iron and Steel Mills and Ferro-Alloy Manufacturing,ArcelorMittal Produits Longs Canada s.e.n.c,ArcelorMittal Long Products Canada s.e.n.c,901422.6002
G11990,2019,Varennes Plant,3300 Marie-Victorin Boulevard,Varennes,Quebec,J3X 1P7,45.7078,-73.4242,Other Basic Organic Chemical Manufacturing,Greenfield Global Quebec Inc.,,60409.24236
G11992,2019,BITUMAR,3000 Broadway,MONTRÉAL,Quebec,H1B5B4,45.6333,-73.5168,All Other Miscellaneous Manufacturing,Bitumar Inc.,,9984.672
G11993,2019,NAT-1 Ralston,9301 Township Road,SUFFIELD,Alberta,T0J2N0,50.33719,-111.17602,Fossil-Fuel Electric Power Generation,NAT-1 GP Inc.,,42123.9782
G11995,2019,Patterson Creek Gas Plant 11-21,*Near Forestry Trunk,Greenview N16,Alberta,,54.72934,-118.3932,Oil and gas extraction (except oil sands),SemCams Midstream ULC,SemCams Midstream,56788.2878
G11996,2019,SemCAMS Gold Creek 11-02,*Near* Forestry Trunk,Greenview No. 16,Alberta,,54.85974,-118.34666,Oil and gas extraction (except oil sands),SemCams Midstream ULC,SemCams Midstream,44405.7063
G11997,2019,Elmworth 2-23 Bty,Near Forestry Trunk Road,Greenview No. 16,Alberta,,54.89606,-118.34038,Oil and gas extraction (except oil sands),SemCams Midstream ULC,SemCams Midstream,16370.434
G11998,2019,Usine de Valleyfield,112 100 McArthur Street,Salaberry-de-Valleyfield,Quebec,J6S 4M5,45.2624,-74.1039,All Other Basic Inorganic Chemical Manufacturing,Macco Organiques Inc.,,10241.88551
G11999,2019,Calgary Composting Facility,11920 68 Street Southeast,Calgary,Alberta,T2Z 5E7,50.94282,-113.9323,Material Recovery Facilities,City of Calgary,City of Calgary,28936.46045
G12000,2019,7G 14-18-064-05W6,,Kakwa,Alberta,,54.5428,-118.743,Oil and gas extraction (except oil sands),Seven Generations Energy Ltd.,,47566.8
G12001,2019,7G 05-01-064-06W6,,Kakwa,Alberta,,54.5054,-118.7796,Oil and gas extraction (except oil sands),Seven Generations Energy Ltd.,,55668.8
G12003,2019,Bigoray 15-07 Compressor,,DRAYTON VALLEY,Alberta,,53.39378,-115.31307,Oil and gas extraction (except oil sands),Keyera Corp,Keyera Corp,12119.706
G12009,2019,NATT Tools Group Inc.,460 Sherman Avenue North,Hamilton,Ontario,L8L 8J6,43.2663,-79.829,Cold-Rolled Steel Shape Manufacturing,NATT Tools Group Inc.,,9111.354711
G12010,2019,Touquoy Mine,"419 Billybell Way, Mooseland Road",Middle Musquodoboit,Nova Scotia,B0N 1X0,44.97361,-62.91917,Gold and Silver Ore Mining,St Barbara Limited,,13560.89049
G12011,2019,Willesden Green Comp Stn 05-03,1920 800 5th Avenue Southwest,Calgary,Alberta,T2P 3T6,52.76209,-114.94114,Oil and gas extraction (except oil sands),Bellatrix Exploration Ltd,,11887.321
G12014,2019,Countess Deep Comp Stn 16-14-020-16W4,,N/A,Alberta,,50.70128,-112.10807,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,11794.463
G12015,2019,Ante Creek Oil Battery 10-07,,n/a,Alberta,,54.7853,-117.658,Oil and gas extraction (except oil sands),ARC Resources,ARC,14372.122
G12016,2019,Pembalta IV Sour Gas Plant 09-16,,n/a,Alberta,,53.2287,-115.1044,Oil and gas extraction (except oil sands),ARC Resources,ARC,10046.409
G12018,2019,Cessford Sweet Gas Plant 02-08-024-12W4,,n/a,Alberta,,51.02502,-111.64167,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,26691.594
G12020,2019,Wintering Hills West Sweet Gas Plant 06-17-025-20W4,,n/a,Alberta,,51.13069,-112.76385,Oil and gas extraction (except oil sands),Torxen Energy Ltd.,,17484.182
G12022,2019,Rosa Flora Growers Limited,717 Diltz Road,Dunnville,Ontario,N1A 2W2,42.95169,-79.58543,Floriculture Production,Rosa Flora Growers Limited,,18241.31
G12023,2019,Carson Creek 15MW,,Whitecourt,Alberta,,54.28493,-115.69845,Fossil-Fuel Electric Power Generation,Genalta GP II Ltd.,,62938.902
G12024,2019,Judy Creek 15MW,,WHITECOURT,Alberta,,54.51412,-115.50411,Fossil-Fuel Electric Power Generation,Genalta GP II Ltd.,,47010.5946
G12026,2019,Brintnell South Power Generation Plant 13-01-081-23W4,,n/a,Alberta,,55.99704,-113.47398,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,19100.8793
G12028,2019,Suffield Koomati River Booster 12-24,,N/A,Alberta,,50.44989,-110.57462,Oil and gas extraction (except oil sands),IPC Canada Ltd.,,13868.706
G12031,2019,Consumer Foods - Winnipeg,870 Lagimodiere Boulevard,Winnipeg,Manitoba,R2J 0T9,49.8799,-97.0724,Rendering and Meat Processing from Carcasses,Maple Leaf Foods Inc.,,11535.4445
G12034,2019,Heavysound 1509,,Greenview No. 16,Alberta,,54.26778,-116.33694,Oil and gas extraction (except oil sands),Outlier Resources Ltd.,,11799.9964
G12035,2019,Centrale de La Romaine,aucun,La Romaine,Quebec,G0G 1M0,50.2156,-60.6866,Fossil-Fuel Electric Power Generation,Hydro-Québec,Hydro-Québec,10310.866
G12036,2019,7G 01-13-063-05W6,43 Highway,Kakwa,Alberta,,54.4453,-118.6076,Oil and gas extraction (except oil sands),Seven Generations Energy Ltd.,,14324.7
G12037,2019,Usine Mirabel,13100 Henri Fabre Boulevard,Mirabel,Quebec,J7N 3C6,45.6873,-74.0199,Aerospace Product and Parts Manufacturing,C Series Aircraft Limited Partnership,,13245.73
G12039,2019,Centre d'épuration Rive-Sud (CERS),2999 Île Charron,Longueuil,Quebec,J4G 1R6,45.5837,-73.4862,Sewage Treatment Facilities,Ville de Longueuil,,19885.20624
G12041,2019,TORC Pinto Oil MWB 06-03-002-04W2,,N/A,Saskatchewan,,49.09304,-102.46807,Oil and gas extraction (except oil sands),TORC Oil & Gas Ltd.,,10693.668
G12042,2019,City of Prince Albert Landfill,1084 Central Avenue Avenue,Prince Albert,Saskatchewan,S6V 7P3,53.2315,-105.7886,Waste Treatment and Disposal,City of Prince Albert Landfill,,30306.06
G12044,2019,Wapiti Compressor Station 13-31-066-12W6,,N/A,Alberta,,54.76145,-119.8106,Oil and gas extraction (except oil sands),Kelt Exploration,,16824.333
G12048,2019,Vista Mine,24301 16 Highway East,Hinton,Alberta,,53.40716,-117.3782,Subbituminous Coal Mining,Coalspur Mines (Operations) Ltd.,,88007.43693
G12053,2019,District Energy Centre,407 9 Avenue Southeast,Calgary,Alberta,,51.04408,-114.05375,Steam and Air-Conditioning Supply,ENMAX Corporation,,16094.0837
G12054,2019,Centrale de Senneterre,190 St-Pierre Road,Senneterre,Quebec,J0Y 2M0,48.38373,-77.223,Other Electric Power Generation,Société en commandite Boralex Énergie,,1012.721
G12055,2019,Morrin Ghost Pine Sweet Gas Plant,,n/a,Alberta,,51.6372,-112.866,Oil and gas extraction (except oil sands),Pine Cliff Energy Ltd.,,33369.51103
G12056,2019,Huxley Sweet Gas Plant,,n/a,Alberta,,51.9151,-113.3737,Oil and gas extraction (except oil sands),Pine Cliff Energy Ltd.,,20810.01369
G12057,2019,Foothills Regional Landfill & Resource Recovery Centre,434137 Highway 783 Highway,Okotoks,Alberta,T1S 1B6,50.64958,-113.97835,Waste Treatment and Disposal,Foothills Regional Services Commission,,47383.7
G12059,2019,Gundy Compressor,Road,FORT ST JOHN,British Columbia,,56.68542,-122.00312,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,13831.60417
G12061,2019,Pinto 14-30-001-04 W2M,,Pinto,Saskatchewan,,49.07081,-102.53528,Oil and gas extraction (except oil sands),Vermilion Energy Inc.,,27904.806
G12065,2019,4-15-27-20 MULTIWELL,,TOWNSHIP 027,Saskatchewan,,51.30146,-108.74374,Oil and gas extraction (except oil sands),Vermilion Energy Inc.,,14544.2
G12066,2019,Harmon Valley Sour Gas Plant 03-18-084-17W5,,HARMON VALLEY,Alberta,,56.27719,-116.66553,Oil and gas extraction (except oil sands),Baytex Energy Ltd,,69720.053
G12080,2019,Mulligan Fourth Creek 15-13-082-09-W6,,Grande Prairie,Alberta,,56.1157,-119.2621,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,12208.2124
G12084,2019,PAPIERS WHITE BIRCHmc - DIVISION PAPIER MASSON LTÉE,2 Chemin Montréal ouest Road,Gatineau,Quebec,J8M 2E1,45.5417,-75.425,Newsprint Mills,Papier Masson Ltée.,,16205.232
G12085,2019,City of Cornwall Landfill Site,2590 Cornwall Centre Road,Cornwall,Ontario,k6k 1m2,45.0343,-74.8071,Waste Treatment and Disposal,Corporation of the City of Cornwall,,39394.01806
G12086,2019,Calgary Wallboard Plant,6750 Ogden Dale Road,Calgary,Alberta,T2C 2A4,50.9938,-113.99,Gypsum Product Manufacturing,"CertainTeed Canada, Inc.",CertainTeed Gypsum,37977.034
G12087,2019,Kakwa Gas Plant 07-09-062-08 W6M,,Kakwa,Alberta,,54.34668,-119.13431,Oil and gas extraction (except oil sands),Modern Resources Inc.,,35644.22569
G12089,2019,House Mountain GP 1-8-70-10W5,,Swan Hills,Alberta,T0G 2C0,55.04142,-115.47912,Oil and gas extraction (except oil sands),Cardinal Energy Ltd.,,15148.9322
G12090,2019,Gilby Sweet Gas Plant 01-04,,Gilby,Alberta,,52.58315,-114.36475,Oil and gas extraction (except oil sands),Tidewater Midstream and Infrastructure Ltd.,,14257.7558
G12091,2019,Garrington 03-03-35-04 W5,,Garrington,Alberta,,51.9716,-114.4925,Oil and gas extraction (except oil sands),NAL Resources Management,,19721.286
G12092,2019,LOCHEND 03-20-027-03W5,,Rocky View County,Alberta,,51.31643,-114.39142,Oil and gas extraction (except oil sands),NAL Resources Management,,19324.161
G12093,2019,Olds 6-9,,OLDS,Alberta,T0M0W0,51.7277,-114.0873,Oil and gas extraction (except oil sands),NAL Resources Management,,12588.299
G12094,2019,WESTWARD HO 6&07-08-033-04W5,600 550 6 Avenue Southwest,CALGARY,Alberta,T2P0S2,51.81492,-114.53026,Oil and gas extraction (except oil sands),NAL Resources Management,,19500.573
G12095,2019,Dodsland 13-11-32-20-3,,DODSLAND,Saskatchewan,,51.73406,-108.74169,Oil and gas extraction (except oil sands),NAL Resources Management,,9462.138
G12096,2019,Olds 16-33-30-1W5,,Calgary,Alberta,T2P 0B4,51.6183,-114.075,Oil and gas extraction (except oil sands),NAL Resources Management,,20725.323
G12097,2019,Université de Montréal - Campus de la Montagne,2900 Edouard Montpetit Boulevard,Montréal,Quebec,H3T 1J4,45.50884,-73.58781,Universities,Université de Montréal,,18585.87204
G12105,2019,Dodsland 13-29-31-19 W3,*Near* 31 HWY,WINSLOW,Saskatchewan,,51.69048,-108.67078,Oil and gas extraction (except oil sands),Teine Energy Ltd.,,7096.7232
G12106,2019,TEINE Lucky Hills 11-7,*Near* 21 HWy,KINDERSLEY,Saskatchewan,,51.55666,-109.22982,Oil and gas extraction (except oil sands),Teine Energy Ltd.,,5116.769
G12108,2019,Kerrobert 4-17-33-24 W3,*Near* 51 HWY,OAKDALE,Saskatchewan,,51.82525,-109.37974,Oil and gas extraction (except oil sands),Teine Energy Ltd.,,7406.885
G12109,2019,Dodsland 10-8-31-20 W3,*Near* 31 HWY,Winslow,Saskatchewan,,51.64308,-108.80081,Oil and gas extraction (except oil sands),Teine Energy Ltd.,,18938.9546
G12110,2019,TEINE Dodsland 5-26,*Near* 31 HWY,Kindersley,Saskatchewan,,51.5968,-108.71964,Oil and gas extraction (except oil sands),Teine Energy Ltd.,,26096.9778
G12112,2019,Silvertip Mine,1084KM 1055 Dunsmuir Street,Vancouver,British Columbia,V7X 1L2,53.72667,-127.64762,Lead-Zinc Ore Mining,Coeur Mining Inc.,,31279.6923
G12114,2019,Nairn Centre Sawmill,100 Old Nairn Road,Nairn Centre,Ontario,P0M 2L0,46.3387,-81.6059,Sawmills (except Shingle and Shake Mills),Eacom Timber Corporation,Eacom Timber Corp.,10542.892
G12115,2019,Elk Lake Planing Mill,Sixth Street,Elk Lake,Ontario,P0J 1G0,47.7257,-80.3391,Sawmills (except Shingle and Shake Mills),Eacom Timber Corporation,Eacom Timber Corp.,9585.500194
G12116,2019,McBride Lake Wind Farm,810 AB Highway,Fort Macleod,Alberta,,49.612,-113.481,Other Electric Power Generation,TransAlta Renewables Inc.,,24.269505
G12117,2019,Whitehorse Rapids Diesel Generating Station,2 Miles Canyon Road,Whitehorse,Yukon,Y1A 6S7,60.6774,-135.0379,Fossil-Fuel Electric Power Generation,Yukon Energy Corp.,,32512.6232
G12119,2019,Elmworth Generating Station,,Elmworth,Alberta,,55.04747,-119.63341,Fossil-Fuel Electric Power Generation,Northstone Power Corp,,19116.26925
G12120,2019,Foothills Boulevard Regional Landfill,6595 Foothills Boulevard,Prince George,British Columbia,,53.99054,-122.82637,Waste Treatment and Disposal,Regional District of Fraser-Fort George,,91424.32453
G12124,2019,Solettera Acme Co-Generation,,KNEEHILL COUNTY,Alberta,,51.50604,-113.51962,Fossil-Fuel Electric Power Generation,Signalta Resources Ltd.,,1324.819393
G12126,2019,Killam Sunrise,0  Range Road 95,HARDISTY,Alberta,T0B1V0,52.75604,-111.27972,Fossil-Fuel Electric Power Generation,TERIC Power Ltd,,1304.19
G12135,2019,Whitecourt Solid Wood Division,5004 52 Street,Whitecourt,Alberta,T7S 1N2,54.1398,-115.6891,Sawmills (except Shingle and Shake Mills),Millar Western Forest Products Ltd.,,24039.02845
G12136,2019,Fox Creek Division,,Fox Creek,Alberta,T0H 1P0,54.3949,-116.809,Sawmills (except Shingle and Shake Mills),Millar Western Forest Products Ltd.,,8647.528977
G12137,2019,Taber Power Plant 02-14,,TABER,Alberta,,49.81565,-112.0701,Fossil-Fuel Electric Power Generation,Signalta Resources Ltd.,,6478.459443
G12138,2019,Coaldale Power Plant 05-05,,Lethbridge,Alberta,,49.79259,-112.55509,Fossil-Fuel Electric Power Generation,Signalta Resources Ltd.,,4755.003034
G12139,2019,Burdett Power Plant 04-14,,BURDETT,Alberta,,49.8152,-111.53862,Fossil-Fuel Electric Power Generation,Signalta Resources Ltd.,,7947.826127
G12140,2019,TVRP Fort McMurray,"XF9X+VF Tar Island, Alberta",WOOD BUFFALO,Alberta,,56.97503,-111.50921,Waste Treatment and Disposal,Titan Tire Reclamation Corp.,,2940.4338
G12141,2019,Borden Generating Station,250 Carleton Street,Borden-Carleton,Prince Edward Island,C0B 1X0,46.25027,-63.68824,Fossil-Fuel Electric Power Generation,Maritime Electric,,356.504
G12142,2019,Caribou Mine,9361 Main Highway North,Bathurst,New Brunswick,E2A 4A5,47.58056,-66.29889,Lead-Zinc Ore Mining,Trevali Mining (New Brunswick) Ltd.,,12128.55388
G12143,2019,McAdam Wallboard Plant,57 Quality Way,McAdam,New Brunswick,E6J 1B1,45.5936,-67.3096,Gypsum Product Manufacturing,"CertainTeed Canada, Inc.",CertainTeed Gypsum,14879.05913
G12144,2019,Winnipeg Wallboard Plant,1200 Empress Avenue,Winnipeg,Manitoba,R3E 3B4,49.9038,-97.1949,Gypsum Product Manufacturing,"CertainTeed Canada, Inc.",CertainTeed Gypsum,10716.6557
G12145,2019,Napanee Generating Station,RR #1 7143 Loyalist Parkway,Bath,Ontario,K0H 1G0,44.14812,-76.8415,Fossil-Fuel Electric Power Generation,TransCanada Energy Ltd.,TransCanada Energy Ltd.,109607.8774
G12146,2019,Enbridge Gas Inc.,500 Consumers Road,North York,Ontario,M2J 1P8,43.77221,-79.32341,Pipeline Transportation of Natural Gas,Enbridge Gas Inc.,Enbridge Gas Inc.,483186.0376
G12147,2019,Enbridge Gas Inc. - Distribution,500 Consumers Road,North York,Ontario,M2J 1P8,43.77221,-79.32341,Natural Gas Distribution,Enbridge Gas Inc.,Enbridge Gas Inc.,446984.2533
G12148,2019,Jackfish District,,Conklin,Alberta,T0P 1H0,55.5259,-110.9975,In-situ oil sands extraction,Canadian Natural Resources Limited,Canadian Natural Resources Limited,2399866.233
G12149,2019,Kirby North 01-06-075-8 W4M,,n/a,Alberta,,55.2326,-111.0702,In-situ oil sands extraction,Canadian Natural Resources Limited,Canadian Natural Resources Limited,239852.4
G12150,2019,Chinook Power Station,,Swift Current,Saskatchewan,S9H 3X4,50.34286,-107.93194,Fossil-Fuel Electric Power Generation,Saskatchewan Power Corporation,SaskPower,200621.5444
G12151,2019,Clover Bar Landfills,Site 1000 250 Aurum Road Road East,Edmonton,Alberta,T6S 1G9,53.60157,-113.33544,Waste Treatment and Disposal,City of Edmonton - WMC,,83364.02462
G12152,2019,Wapiti Sour Gas Processing Plant,,Grand Prairie,Alberta,,54.80878,-119.05879,Oil and gas extraction (except oil sands),Keyera Corp,Keyera Corp,110028.808
G12153,2019,ECO360 Landfill,70 Bill Slater Drive,Berry Mills,New Brunswick,E1G 5X5,46.0537,-64.539,Waste Treatment and Disposal,Southeast Regional Service Comission,Southeast Regional Service Comission,102299.12
G12154,2019,Gundy Gas Plant C-060-A / 94-B-16,,Wonowon,British Columbia,V0C 2N0,56.79957,-122.1206,Oil and gas extraction (except oil sands),Tourmaline Oil Corp,,96179.30932
G12155,2019,Dee Valley Thermal,,Maidstone,Saskatchewan,,53.1732,-109.2721,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Husky Oil Operations Limited,85957.93923
G12156,2019,Wapiti Gas Plant 07-35,Bald Mountain Tower Road,Grande Prairie,Alberta,,54.8415,-118.95089,Oil and gas extraction (except oil sands),SemCams Midstream ULC,SemCams Midstream,73322.3976
G12157,2019,Kakwa Gas Battery 12-13-063-06W6,,NA,Alberta,,54.45253,-118.77754,Oil and gas extraction (except oil sands),ORLEN Upstream Canada Ltd.,ORLEN Upstream Canada Ltd.,23217.225
G12158,2019,Mount Milligan Mine,132 250 Stuart Drive East,Fort St. James,British Columbia,V0J 1P0,55.12046,-124.00305,Copper-Zinc Ore Mining,Thompson Creek Metals Inc.,,65127.123
G12159,2019,XTO 07-20-061-19W5,,n/a,Alberta,,54.28795,-116.8134,Oil and gas extraction (except oil sands),XTO Energy Canada ULC,,6.591
G12160,2019,7G 10-23-067-05W6,304 10920 84 Avenue,Grande Prairie,Alberta,T8V 6H2,54.81059,-118.63677,Oil and gas extraction (except oil sands),Seven Generations Energy Ltd.,,49047.7
G12161,2019,Hydro One Networks,483 Bay Street,Toronto,Ontario,M5G 2P5,43.65339,-79.38232,Electric Bulk Power Transmission and Control,Hydro One Networks Inc.,,45852.852
G12162,2019,Pipestone 12-35-070-09W6 Gas Plant,,Dimsdale,Alberta,,55.1053,-119.27167,Oil and gas extraction (except oil sands),Tidewater Midstream and Infrastructure Ltd.,,45733.0778
G12163,2019,GFL Environmental Inc.,1569 Walton Woods Road,Cogmagun,Nova Scotia,B0N 2A0,45.12093,-64.0526,Waste Treatment and Disposal,GFL Environmental Inc.,,42538.8647
G12164,2019,Inga Compressor Station 02-10-088-23W6,,n/a,British Columbia,,56.61242,-121.56085,Oil and gas extraction (except oil sands),Kelt Exploration,,38852.232
G12165,2019,Transmission Mainline - AB,425 1st Street Southwest,Calgary,Alberta,T2P 3L8,55.82473,-119.75256,Pipeline Transportation of Natural Gas,Spectra Energy Transmission,Spectra Energy Transmission,26060.4913
G12166,2019,Battrum Oil MWB 07-21,,Battrum,Saskatchewan,,50.53392,-108.28183,Oil and gas extraction (except oil sands),Crescent Point Energy Corp.,,32327.143
G12167,2019,Economy Creek 11-05,Off the Forestry Truck Road,Greenview No. 16,Alberta,,54.94679,-118.26981,Oil and gas extraction (except oil sands),SemCams Midstream ULC,SemCams Midstream,31964.9722
G12168,2019,Highway 48 Landfill,1406 Highway 48,Stouffville,Ontario,L0K 1A0,44.37286,-79.10714,Waste Treatment and Disposal,Waste Management of Canada Corporation,Waste Management of Canada Corporation,31649.725
G12169,2019,Swan Hills OB 03-19-65-10W5,7  Road Northeast,High Prairie,Alberta,T0G 1E0,54.6341,-115.50397,Oil and gas extraction (except oil sands),Razor Energy Corp.,,31560.23125
